Date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2025-03-12,0.3,0.38,0.95,0.88,0.23,0.09,0.12,0.57,0.59,0.17,0.75,0.35,0.54,0.51,0.1,0.37,0.42,0.51,0.57,0.91,0.55,0.4,0.56,0.39
2025-03-13,0.6,0.69,0.05,0.51,0.42,0.84,0.07,0.9,0.61,0.26,0.08,0.84,0.24,0.96,0.49,0.84,0.79,0.79,0.81,0.77,0.02,0.31,0.54,0.27
2025-03-14,0.51,0.78,0.08,0.84,0.79,0.79,0.65,0.75,0.03,0.67,0.46,0.5,0.61,0.82,0.43,0.56,0.35,0.84,0.18,0.28,0.57,0.39,0.0,0.12
2025-03-15,0.5,0.48,0.22,0.93,0.09,0.78,0.86,0.88,0.63,0.41,0.04,0.83,0.42,0.73,0.79,0.68,0.29,0.41,0.87,0.56,0.36,0.1,0.73,0.95
2025-03-16,0.63,0.67,0.32,0.28,0.04,0.28,0.23,0.52,0.21,0.84,0.53,0.01,0.77,0.67,0.51,0.2,0.46,0.78,0.23,0.92,0.74,0.12,0.94,0.22
2025-03-17,0.21,0.31,0.68,0.49,0.93,0.29,0.21,0.02,0.58,0.92,0.56,0.99,0.41,0.5,0.31,0.34,0.78,0.89,0.09,0.87,0.02,0.85,0.76,0.2
2025-03-18,0.38,0.47,0.69,0.08,0.88,0.19,0.14,0.88,0.09,0.25,0.47,0.27,0.92,0.45,0.36,0.99,0.89,0.63,0.39,0.49,0.61,0.02,0.01,0.66
2025-03-19,0.33,0.98,0.72,0.85,0.08,0.28,0.89,0.3,0.56,0.59,0.65,0.96,0.9,0.35,0.32,0.16,0.47,0.04,0.02,0.93,0.26,0.59,0.85,0.87
2025-03-20,0.76,0.23,0.47,0.97,0.03,0.87,0.47,0.53,0.03,0.14,0.13,0.54,0.67,0.48,0.6,0.38,0.56,0.28,0.3,0.35,0.81,0.0,0.02,0.85
2025-03-21,0.5,0.17,0.78,0.48,0.77,0.32,0.22,0.55,0.24,0.52,0.86,0.34,0.85,0.72,0.12,0.65,0.72,0.72,0.69,0.74,0.89,0.45,0.47,0.44
2025-03-22,0.74,0.92,0.51,0.04,0.24,0.96,0.63,0.82,0.9,0.26,0.04,0.12,0.58,0.82,0.97,0.43,0.54,0.68,0.43,0.5,0.78,0.01,0.01,0.15
2025-03-23,0.79,0.52,0.55,0.21,0.22,0.89,0.19,0.51,0.11,0.55,0.27,0.38,0.14,0.68,0.22,0.83,0.81,0.62,0.14,0.55,0.09,0.54,0.22,0.1
2025-03-24,0.78,0.73,0.35,0.75,0.21,0.02,0.36,0.78,0.21,0.8,0.6,0.66,0.82,0.23,0.26,0.74,0.06,0.08,0.14,0.85,0.24,0.08,0.01,0.37
2025-03-25,0.81,0.58,0.46,0.67,0.54,0.56,0.82,0.33,0.67,0.44,0.0,0.37,0.21,0.27,0.69,0.2,0.67,0.56,0.07,0.25,0.96,0.62,0.38,0.52
2025-03-26,0.29,0.74,0.63,0.63,0.24,0.31,0.08,0.63,0.32,0.43,0.36,0.04,0.11,0.81,0.25,0.23,0.68,0.13,0.3,0.65,0.43,0.79,0.73,0.46
2025-03-27,0.42,0.59,0.85,0.71,0.7,0.15,0.06,0.98,0.48,0.72,0.63,1.0,0.88,0.58,0.82,0.75,0.85,0.86,0.3,0.3,0.11,0.71,0.59,0.04
2025-03-28,0.78,0.22,0.85,0.64,0.48,0.3,0.87,0.83,0.59,0.29,0.23,0.98,0.6,0.25,0.63,0.51,0.22,0.61,0.75,0.54,0.9,0.86,0.64,0.2
2025-03-29,0.8,0.9,0.62,0.31,0.55,0.16,0.1,0.84,0.49,0.68,0.46,0.02,0.47,0.47,0.91,0.49,0.27,0.73,0.69,0.58,0.09,0.14,0.42,0.78
2025-03-30,0.32,0.82,0.98,0.31,0.8,0.66,0.21,0.27,0.78,0.41,0.24,0.39,0.33,0.44,0.1,0.35,0.11,0.61,0.73,0.08,0.01,0.23,0.54,0.26
2025-03-31,0.46,0.09,0.25,0.7,0.03,0.64,0.33,0.57,0.85,0.74,0.0,0.04,0.06,0.48,0.38,0.97,0.0,0.32,0.48,0.14,0.03,0.25,0.01,0.35
2025-04-01,0.72,0.27,0.75,0.32,0.75,0.13,0.97,0.25,0.23,0.41,0.13,0.0,0.89,0.53,0.14,0.42,0.37,0.38,0.82,0.37,0.28,0.1,0.35,0.01
2025-04-02,0.48,0.6,0.5,0.67,0.66,0.79,0.97,0.32,0.72,0.94,0.13,0.48,0.48,0.51,0.83,0.72,0.44,0.25,0.2,0.4,0.19,0.77,0.71,0.14
2025-04-03,0.09,0.52,0.01,0.98,0.84,0.74,0.12,0.79,0.92,0.02,0.64,0.55,0.66,0.69,0.5,0.66,0.7,0.62,0.49,0.08,0.1,0.51,0.59,0.86
2025-04-04,0.66,0.14,0.51,1.0,0.1,0.97,0.76,0.66,0.87,0.8,0.02,0.05,0.93,0.39,0.12,0.64,0.65,0.34,0.11,0.73,0.43,0.13,0.02,0.19
2025-04-05,0.27,0.88,0.82,0.38,0.06,0.05,0.07,0.21,0.58,0.03,0.78,0.57,0.94,0.66,0.78,0.24,0.92,0.15,0.49,0.3,0.13,0.14,0.69,0.65
2025-04-06,0.01,0.33,0.95,0.22,0.13,0.66,0.67,0.05,0.5,0.09,0.13,0.26,0.69,0.32,0.07,0.24,0.26,0.01,0.56,0.73,0.63,0.41,0.24,0.92
2025-04-07,0.8,0.9,0.61,1.0,0.8,0.21,0.66,0.95,0.39,0.27,0.53,0.65,0.45,0.35,0.69,0.02,0.51,0.68,0.83,0.04,0.1,0.03,0.46,0.19
2025-04-08,0.83,0.36,0.3,0.13,0.76,0.82,0.2,0.48,0.03,0.72,0.17,0.34,0.15,0.38,0.26,0.32,0.19,0.36,0.12,0.88,0.89,0.09,0.68,0.09
2025-04-09,0.09,0.58,0.71,0.61,0.84,0.51,0.73,0.8,0.9,0.29,0.89,0.93,0.51,0.27,0.09,0.89,0.02,0.26,0.67,0.98,0.73,0.37,0.23,0.71
2025-04-10,0.48,0.88,0.98,0.26,0.06,0.13,0.29,0.46,0.24,0.21,0.2,0.1,0.26,0.92,0.53,0.92,0.11,0.15,0.41,0.89,0.1,0.19,0.83,0.77
