Date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2025-03-12,0.23,0.43,0.99,0.3,0.77,0.46,0.84,0.61,0.99,0.02,0.79,0.12,0.9,0.79,0.91,0.3,0.64,0.62,0.07,0.41,0.59,0.08,0.8,0.17
2025-03-13,0.8,0.24,0.64,0.38,0.89,0.51,0.46,0.93,0.77,0.85,0.27,0.7,0.04,0.11,0.29,0.93,0.76,0.22,0.73,0.61,0.71,0.68,0.65,0.97
2025-03-14,0.88,0.31,0.62,0.09,0.19,0.51,0.22,0.86,0.55,0.15,0.54,0.95,0.8,0.34,0.97,1.0,0.8,0.03,0.61,0.99,0.31,0.87,0.65,0.16
2025-03-15,0.58,0.08,0.04,0.2,0.22,0.02,0.3,0.36,0.2,0.72,0.6,0.55,0.34,0.98,0.98,0.1,0.48,0.58,0.45,0.11,0.6,0.26,0.88,0.43
2025-03-16,0.56,0.17,0.16,0.75,0.66,0.62,0.24,0.22,0.97,0.26,0.53,0.25,0.78,0.26,0.92,0.24,0.32,0.98,0.37,0.6,0.4,0.7,0.22,0.85
2025-03-17,0.41,0.15,0.03,0.36,0.37,0.43,0.26,0.47,0.54,0.96,0.61,0.56,0.37,0.41,0.54,0.35,0.82,0.68,0.77,0.62,0.27,0.92,0.93,0.2
2025-03-18,0.96,0.42,0.78,0.15,0.14,0.45,0.44,0.69,0.11,0.81,0.91,0.69,0.43,0.71,0.99,0.37,0.55,0.21,0.8,0.48,0.68,0.46,0.16,0.28
2025-03-19,0.79,0.25,0.03,0.46,0.79,0.83,0.78,0.35,0.99,0.85,0.53,0.97,0.74,0.8,0.6,0.14,0.88,0.54,0.56,0.24,0.98,0.66,0.09,0.97
2025-03-20,0.15,0.16,0.01,0.22,0.77,0.84,0.65,0.69,0.8,0.68,0.74,0.62,0.37,0.82,0.26,0.98,0.4,0.27,0.89,0.92,0.7,0.47,0.93,0.28
2025-03-21,0.22,0.99,0.61,0.91,0.94,0.42,0.96,0.56,0.57,0.01,0.87,0.7,0.92,0.17,0.28,0.17,0.36,0.09,0.91,0.71,0.32,0.06,0.24,0.2
2025-03-22,0.84,0.8,0.33,0.13,0.9,0.64,0.46,0.06,0.75,0.76,0.36,0.31,0.2,0.03,0.11,0.17,0.59,0.1,0.28,0.23,0.05,0.77,0.58,0.03
2025-03-23,0.69,0.18,0.57,0.13,0.3,0.24,0.29,0.53,0.37,0.66,0.69,0.91,0.35,0.35,0.71,0.74,0.79,0.76,0.94,0.15,0.6,0.65,0.22,0.38
2025-03-24,0.79,0.72,0.32,0.37,0.66,0.78,0.65,0.27,0.6,0.24,0.16,0.33,0.66,0.23,0.67,0.7,0.77,0.39,0.11,0.92,0.34,0.8,0.78,0.69
2025-03-25,0.13,0.31,0.59,0.05,0.33,0.54,0.54,0.32,0.38,0.88,0.6,0.11,0.63,0.63,0.52,0.07,0.7,0.59,0.21,0.3,0.23,0.05,0.49,0.11
2025-03-26,0.46,0.16,0.95,0.97,0.49,0.69,0.39,0.34,0.09,0.91,0.62,0.58,0.33,0.32,0.84,0.55,0.55,0.4,0.95,0.54,0.89,0.33,0.53,0.73
2025-03-27,0.41,0.68,0.16,0.5,0.58,0.29,0.6,0.23,0.52,0.09,0.77,0.6,0.56,0.17,0.76,0.74,0.61,0.97,0.31,0.86,0.61,0.75,1.0,0.18
2025-03-28,0.35,0.32,0.51,0.48,0.52,0.05,0.08,0.86,0.82,0.64,0.74,0.23,0.98,0.19,0.03,0.36,0.35,0.17,0.86,0.03,0.45,0.19,0.02,0.2
2025-03-29,0.1,0.76,0.95,0.72,0.76,0.88,0.75,0.19,0.64,0.21,0.24,0.83,0.03,0.05,0.55,0.65,0.21,0.82,0.85,0.58,0.33,0.09,0.74,0.53
