Date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2025-03-12,0.3,0.39,0.35,0.42,0.75,0.6,0.39,0.74,0.42,0.57,0.25,0.04,0.61,0.73,0.88,0.0,0.6,0.87,0.81,0.26,0.52,0.27,0.42,0.98
2025-03-13,0.94,0.41,0.74,0.78,0.67,0.83,0.27,0.1,0.58,0.1,0.37,0.65,0.44,0.49,0.1,0.09,0.42,0.44,0.79,0.48,0.55,0.34,0.2,0.78
2025-03-14,0.06,0.09,0.34,0.31,0.07,0.52,0.91,0.14,0.95,0.87,0.29,0.99,0.43,0.74,0.12,0.99,0.52,0.28,0.17,0.92,0.09,0.89,0.07,0.06
2025-03-15,0.74,0.21,0.33,0.39,0.74,0.67,0.71,0.54,0.4,0.33,0.12,0.2,0.26,0.96,0.77,0.0,0.78,0.73,0.29,0.79,0.46,0.87,0.07,0.94
2025-03-16,0.32,0.91,0.88,0.99,0.45,0.96,0.07,0.8,0.56,0.85,0.85,0.51,0.38,0.85,0.77,0.25,0.58,0.96,0.75,0.29,0.86,0.49,0.91,0.66
2025-03-17,0.17,0.47,0.13,0.2,0.28,0.07,0.18,0.8,0.69,0.58,0.03,0.39,0.89,0.65,0.53,0.42,0.34,0.3,0.01,0.34,0.5,0.81,0.11,0.4
2025-03-18,0.79,0.36,0.45,0.15,0.49,0.24,0.97,0.86,0.13,0.32,0.79,0.94,0.09,0.8,0.57,0.52,0.7,0.71,0.05,0.97,0.72,0.3,0.86,0.41
2025-03-19,0.04,0.47,0.8,0.35,0.24,0.6,0.96,0.31,0.56,0.43,0.66,0.95,0.58,0.44,0.3,0.8,0.78,0.93,0.78,0.74,0.28,0.97,0.94,0.7
2025-03-20,0.35,0.46,0.88,0.2,0.54,0.72,0.93,0.47,0.81,0.76,0.24,0.71,0.36,0.1,0.8,0.38,0.23,0.73,0.49,0.65,0.24,0.55,0.27,0.07
2025-03-21,0.59,0.5,0.36,0.75,0.03,0.02,0.05,0.08,0.59,0.07,0.33,0.7,0.31,0.09,0.13,0.28,0.13,0.18,0.28,0.87,0.85,0.39,0.91,0.92
2025-03-22,0.46,0.45,0.76,0.81,0.83,0.05,0.28,0.13,0.36,0.44,0.57,0.69,0.17,0.29,0.82,0.3,0.09,0.66,0.28,0.92,0.25,0.1,0.1,0.56
2025-03-23,0.23,0.17,0.74,0.61,0.39,0.04,0.31,0.12,0.24,0.49,0.93,0.12,0.82,0.04,0.19,0.16,0.25,0.46,0.69,0.04,0.25,0.67,0.24,0.01
