Date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2025-03-12,0.32,0.21,0.9,0.19,0.49,0.53,0.98,0.91,0.2,0.79,0.6,0.13,0.54,0.82,0.68,0.31,0.76,0.69,0.23,0.48,0.17,0.93,0.33,0.97
2025-03-13,0.48,0.68,0.82,0.34,0.85,0.39,0.35,0.25,0.53,0.31,0.55,0.8,0.86,0.48,0.27,0.09,0.62,0.49,0.51,0.77,0.24,0.3,0.53,0.32
2025-03-14,0.05,0.03,0.65,0.07,0.06,0.1,0.95,0.31,0.98,0.71,0.52,0.04,0.06,1.0,0.84,0.79,0.34,0.24,0.09,0.02,0.98,0.7,0.5,0.67
2025-03-15,0.61,0.98,0.77,0.4,0.53,0.56,0.62,0.28,0.92,0.29,0.73,0.7,0.87,0.96,0.03,0.27,0.14,0.06,0.54,0.6,0.93,0.23,0.86,0.79
2025-03-16,0.28,0.32,0.58,0.03,0.67,0.52,0.07,0.57,0.59,0.91,0.18,0.32,0.38,0.49,0.17,0.67,0.85,0.62,0.77,0.19,0.41,0.37,0.74,0.43
2025-03-17,0.3,0.04,0.43,0.55,0.96,0.92,0.44,0.28,0.25,0.98,0.27,0.45,0.19,0.83,0.1,0.46,0.2,0.06,0.26,0.02,0.16,0.96,0.7,0.51
2025-03-18,1.0,0.31,0.08,0.25,0.64,0.52,0.2,0.02,0.01,0.89,0.48,0.39,0.47,0.4,0.8,0.03,0.43,0.32,0.28,0.36,0.68,0.67,0.7,0.04
2025-03-19,0.68,0.19,0.45,0.56,0.53,0.05,0.59,0.95,0.8,0.83,0.94,0.72,0.54,0.12,0.43,0.46,0.45,0.28,0.53,0.39,0.85,0.58,0.79,0.76
2025-03-20,0.78,0.47,0.64,0.58,0.77,0.49,0.74,0.95,0.45,0.8,0.48,0.24,0.53,0.72,0.73,0.79,0.8,0.73,0.69,0.29,0.88,0.25,0.9,0.8
2025-03-21,0.91,0.51,0.99,0.79,0.54,0.77,0.06,0.57,0.12,0.97,0.3,0.85,0.81,0.06,0.97,0.49,0.15,0.86,0.72,0.87,0.85,0.21,0.94,0.33
2025-03-22,0.71,0.31,0.51,0.22,0.3,0.03,0.54,0.88,0.66,0.51,0.88,0.33,0.81,0.49,0.99,0.74,0.54,0.86,0.64,0.51,0.94,0.97,0.65,0.93
2025-03-23,0.53,0.05,0.39,0.26,0.0,0.56,0.52,0.86,0.99,0.34,0.58,0.59,0.9,0.1,0.52,0.64,0.4,0.17,0.77,0.98,0.28,0.31,0.02,0.47
2025-03-24,0.03,0.11,0.05,0.73,0.75,0.5,0.8,0.22,0.6,0.4,0.88,0.22,0.58,0.44,0.02,0.55,0.97,0.07,0.61,0.55,0.74,0.45,0.07,0.87
2025-03-25,0.37,0.48,0.37,0.82,0.49,0.24,0.18,0.08,0.21,0.45,0.75,0.33,0.25,0.67,0.28,0.28,0.89,0.89,0.73,0.6,0.72,0.63,0.93,0.79
2025-03-26,0.99,0.45,0.59,0.59,0.52,0.28,0.08,0.39,0.17,0.79,0.99,0.43,0.6,0.43,0.46,0.66,0.16,0.55,0.55,0.12,0.26,0.25,0.82,0.54
2025-03-27,0.46,0.03,0.56,0.13,0.49,0.61,0.88,0.08,0.01,0.05,0.85,0.32,0.96,0.8,0.24,0.04,0.57,0.99,0.42,0.97,0.36,0.08,0.51,0.17
2025-03-28,0.08,0.45,0.25,0.62,0.0,0.88,0.72,0.74,0.06,0.4,0.68,0.33,0.7,0.35,0.46,0.42,0.42,0.64,0.91,0.17,0.65,0.45,0.67,0.63
2025-03-29,0.94,0.98,0.82,0.86,0.72,0.93,0.81,0.44,0.32,0.01,0.69,0.56,0.57,0.12,0.35,0.72,0.27,0.88,0.63,0.01,0.31,0.31,0.15,0.41
