Date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2025-03-12,0.64,0.49,0.09,0.06,0.4,0.88,0.93,0.34,0.08,0.51,0.01,0.25,0.87,0.7,0.81,0.55,0.19,0.63,0.82,0.16,0.47,0.8,0.01,0.02
2025-03-13,0.61,1.0,0.55,0.22,0.68,0.55,0.96,0.79,0.17,0.82,0.54,0.19,0.95,0.72,0.86,0.18,0.36,0.84,0.72,0.93,0.6,0.74,0.59,0.4
2025-03-14,0.36,0.25,0.76,0.24,0.78,0.99,0.99,0.96,0.09,0.18,0.22,0.17,0.3,0.94,0.04,0.17,0.32,0.89,0.33,0.17,0.44,0.62,0.66,0.01
2025-03-15,0.57,0.1,0.06,0.39,0.06,0.01,0.91,0.67,0.25,0.73,0.05,0.51,0.04,0.44,0.63,0.18,0.31,0.36,0.67,0.1,0.69,0.55,0.58,0.29
2025-03-16,0.47,0.82,0.18,0.51,0.68,0.86,0.54,0.26,0.33,0.49,1.0,0.54,0.54,0.07,0.83,0.07,0.46,0.17,0.65,0.94,0.64,0.76,0.63,0.2
2025-03-17,0.26,0.1,0.2,0.96,0.42,0.79,0.25,0.34,0.41,0.16,0.69,0.04,0.9,0.91,0.56,0.51,0.4,0.5,0.44,0.32,0.34,0.31,0.65,0.55
2025-03-18,0.28,0.2,0.64,0.3,0.22,0.08,0.98,0.76,0.44,0.0,0.3,0.67,0.65,0.85,0.21,0.9,0.84,0.38,0.98,0.03,0.28,0.51,0.14,0.49
2025-03-19,0.01,0.56,0.16,0.08,0.46,0.29,0.11,0.04,0.47,0.77,0.63,0.61,0.87,0.21,0.89,0.51,0.36,0.64,0.94,0.64,0.65,0.34,0.12,0.64
2025-03-20,0.47,0.91,0.28,0.09,0.64,0.46,0.48,0.99,0.33,0.58,0.88,0.53,0.46,0.58,0.79,0.55,0.05,0.75,0.61,0.88,0.82,0.07,0.91,0.19
2025-03-21,0.83,0.38,0.91,0.01,0.57,0.35,0.44,0.51,0.23,0.21,0.51,0.41,0.96,0.12,0.32,0.17,0.13,0.17,0.21,0.86,0.81,0.79,0.69,0.34
2025-03-22,0.11,0.99,0.43,0.58,0.2,0.75,0.7,0.67,0.96,0.3,0.9,0.66,0.75,0.75,0.52,0.52,0.92,0.27,0.5,0.11,0.81,0.59,0.36,0.96
2025-03-23,0.77,0.53,0.36,0.53,0.85,0.8,0.93,0.99,0.25,0.54,0.37,0.56,0.01,0.83,0.15,0.67,0.68,0.19,0.53,0.17,0.59,0.79,0.48,0.09
2025-03-24,0.68,0.67,0.9,0.05,0.44,0.22,0.62,0.49,0.44,0.93,0.57,0.02,0.76,0.22,0.02,0.91,0.33,0.15,0.55,0.6,0.7,1.0,0.56,0.87
2025-03-25,0.71,0.6,0.05,0.09,0.56,0.61,0.45,0.08,0.53,0.06,0.48,0.16,0.99,0.85,0.17,0.75,0.12,0.96,0.79,0.15,0.53,0.94,0.46,0.02
